date,friends_count,followers_count,friends_except_followers_count,followers_except_friends_count,mutual_friends_count,inactive_count,ff_ratio,follow_to_me_rate,follow_from_me_rate,statuses_count,favourites_count,listed_count,create_friend_count,destroy_friend_count,create_follower_count,destroy_follower_count
2020/08/17,630,961,47,378,583,138,1.5254,0.925397,0.60666,1105,9829,13,0,1,2,2
2020/08/18,631,961,47,377,584,139,1.52298,0.925515,0.6077,1105,9825,13,2,1,4,4
2020/08/19,631,959,47,375,584,140,1.51981,0.925515,0.608968,1105,9821,13,0,0,0,2
2020/08/20,634,960,47,373,587,140,1.5142,0.925867,0.611458,1110,9880,13,4,1,5,4
2020/08/21,637,969,47,379,590,143,1.52119,0.926217,0.608875,1115,9956,14,3,0,9,0
2020/08/22,641,994,47,400,594,141,1.5507,0.926677,0.597585,1118,9984,14,4,0,27,2
2020/08/23,644,1005,47,408,597,140,1.56056,0.927019,0.59403,1123,10030,14,3,0,12,1
2020/08/24,651,1005,47,401,604,139,1.54378,0.927803,0.600995,1125,10057,14,8,1,5,5
2020/08/25,652,1007,47,402,605,141,1.54448,0.927914,0.600794,1128,10091,14,1,0,4,2
2020/08/26,654,1013,47,406,607,139,1.54893,0.928135,0.59921,1129,10146,14,2,0,7,1
2020/08/27,656,1028,47,419,609,139,1.56707,0.928354,0.592412,1136,10177,14,2,0,17,2
2020/08/28,659,1041,47,429,612,139,1.57967,0.92868,0.587896,1141,10217,14,3,0,14,1
2020/08/29,660,1046,47,433,613,139,1.58485,0.928788,0.586042,1148,10225,14,1,0,6,1
2020/08/30,660,1046,47,433,613,140,1.58485,0.928788,0.586042,1150,10247,14,1,1,3,3
2020/08/31,664,1054,47,437,617,139,1.58735,0.929217,0.585389,1156,10294,14,4,0,10,2
2020/09/01,667,1053,47,432,620,140,1.57871,0.929535,0.588794,1165,10383,14,4,1,3,5
2020/09/02,668,1052,47,431,621,141,1.57485,0.929641,0.590304,1166,10413,14,1,0,3,3
2020/09/03,668,1049,47,428,621,142,1.57036,0.929641,0.591992,1167,10438,14,1,1,1,4
2020/09/04,669,1054,47,432,622,145,1.57549,0.929746,0.590133,1168,10469,14,1,0,8,3
2020/09/05,669,1054,47,432,622,143,1.57549,0.929746,0.590133,1168,10471,14,0,0,2,2
2020/09/06,669,1056,47,434,622,144,1.57848,0.929746,0.589015,1170,10482,14,1,1,4,2
2020/09/07,669,1060,47,438,622,142,1.58445,0.929746,0.586792,1172,10499,15,0,0,7,3
